INTRODUCES OBJECTIVES OF THIS ASSIGNMENT,0,WILDCARD ASSIGNMENT,NOTES:
DESCRIBES DESIGN  PROCESS - CREATING DESIGN,0,,DESIGN PROCESS =  Present your sketches and computer designs. Describe your intentions and challenges.
DOCUMENTS TECHNICAL PROCESS - MACHINE / SETUP,0,,TECHNICAL PROCESS =  How did you set up the machine or tool? How does it work? Describe any challenges.
DESCRIBES MATERIALS ,0,,MATERIAL PROCESS = How did you choose your materials? What qualities are you looking for?
PROVIDES SAFETY INFORMATION,0,, 
CONDUCTS EXPERIMENTS  / TESTS,0,,
PRESENTS TECHNICAL PARAMETERS ,0,,
INCLUDES LINKS TO DESIGN FILES,0,,
INCLUDES LINKS TO SOURCES,0,,
MAKES CONNECTIONS TO FINAL PROJECT,0,,
CLARITY & QUALITY  OF TEXT & IMAGE,0,,
DETAIL - PRESENTS MULTIPLE STEPS  ,0,,
,0%,,
